Time,X1
0.00,3.97
0.00,4.29
0.00,3.74
0.00,3.59
0.00,4.12
5.00,0.81
5.00,0.71
5.00,0.83
5.00,0.78
5.00,0.79
10.00,1.91
10.00,1.78
10.00,1.91
10.00,2.16
10.00,1.91
15.00,4.65
15.00,4.27
15.00,4.46
15.00,4.86
15.00,3.99
20.00,2.77
20.00,2.74
20.00,2.87
20.00,2.62
20.00,2.59
25.00,1.26
25.00,1.21
25.00,1.21
25.00,1.31
25.00,1.15
30.00,1.63
30.00,1.48
30.00,1.51
30.00,1.64
30.00,1.46
35.00,2.37
35.00,2.36
35.00,2.34
35.00,2.36
35.00,2.66
40.00,2.32
40.00,2.60
40.00,2.43
40.00,2.48
40.00,2.35
45.00,1.52
45.00,1.58
45.00,1.63
45.00,1.63
45.00,1.56
50.00,0.99
50.00,0.98
50.00,0.89
50.00,0.93
50.00,0.99
55.00,0.66
55.00,0.68
55.00,0.69
55.00,0.66
55.00,0.72
60.00,0.54
60.00,0.59
60.00,0.57
60.00,0.59
60.00,0.52
65.00,0.48
65.00,0.49
65.00,0.47
65.00,0.49
65.00,0.48
70.00,0.37
70.00,0.39
70.00,0.36
70.00,0.40
70.00,0.38
75.00,0.34
75.00,0.32
75.00,0.29
75.00,0.26
75.00,0.31
80.00,0.21
80.00,0.22
80.00,0.20
80.00,0.19
80.00,0.21
