# value,cost
5.000000000000000278e-02,2.130741166486906479e+00
7.500000000000001110e-02,1.781103044372940536e+00
1.000000000000000056e-01,6.513998709853042968e+00
1.250000000000000000e-01,1.151359386301513021e+00
1.500000000000000222e-01,1.628625208905532640e+00
1.750000000000000444e-01,1.139285286638712646e+00
2.000000000000000111e-01,1.138853549201120030e+00
2.250000000000000333e-01,1.143691607896761298e+01
2.500000000000000555e-01,1.000792227882477725e+01
2.750000000000000222e-01,7.469641751435539767e+00
