# value,cost
5.000000000000000278e-02,5.183609552975402579e+01
7.500000000000001110e-02,1.000518756693195202e+06
1.000000000000000056e-01,5.881925443657184616e+01
1.250000000000000000e-01,1.615741262737942607e+00
1.500000000000000222e-01,7.234813179581137454e+00
1.750000000000000444e-01,6.038592289334046903e+00
2.000000000000000111e-01,2.760076339719159666e+00
2.250000000000000333e-01,6.387110286672211856e+01
2.500000000000000555e-01,5.970942001345817829e+01
2.750000000000000222e-01,9.716109656503900283e+01
