Time X1 X2 X3
0.00 4.05 2.02 0.99
0.00 3.42 1.79 0.83
0.00 3.99 2.10 1.47
0.00 3.72 1.69 1.10
0.00 4.11 1.80 1.04
5.00 0.13 5.37 1.97
5.00 0.36 5.33 1.50
5.00 0.04 5.49 1.99
5.00 0.16 5.01 1.32
5.00 0.18 5.21 1.67
10.00 -0.25 3.31 1.55
10.00 0.03 3.50 1.57
10.00 0.18 2.63 1.38
10.00 0.07 3.45 1.62
10.00 -0.59 3.08 1.52
15.00 -0.58 2.46 0.90
15.00 -0.01 1.69 1.13
15.00 0.19 1.93 0.96
15.00 0.28 2.36 1.00
15.00 0.08 2.08 1.29
20.00 -0.32 1.08 1.10
20.00 0.20 1.28 0.60
20.00 0.19 0.94 0.89
20.00 0.08 1.59 1.10
20.00 0.02 1.21 0.97
25.00 -0.02 0.46 0.83
25.00 0.02 0.80 0.63
25.00 0.34 0.56 0.96
25.00 -0.01 0.57 0.79
25.00 -0.22 0.80 0.52
30.00 -0.16 0.56 0.16
30.00 0.16 0.60 0.74
30.00 0.27 0.80 0.59
30.00 0.41 0.27 1.15
30.00 0.14 0.18 0.44
35.00 1.07 0.12 0.13
35.00 0.58 0.49 0.72
35.00 0.99 0.77 0.57
35.00 0.69 0.79 0.35
35.00 0.86 -0.08 0.04
40.00 4.02 0.92 1.08
40.00 3.82 1.40 0.97
40.00 3.51 1.00 0.90
40.00 3.99 0.73 1.02
40.00 3.29 1.00 0.72
45.00 0.57 4.72 2.36
45.00 0.56 4.64 1.98
45.00 0.93 4.26 2.34
45.00 0.67 4.46 2.46
45.00 0.56 4.38 2.89
50.00 0.10 3.33 2.56
50.00 0.04 3.31 2.01
50.00 -0.26 3.07 1.93
50.00 -0.03 3.08 1.68
50.00 0.07 3.16 2.31
55.00 0.17 2.19 1.45
55.00 -0.15 1.81 1.55
55.00 -0.30 1.80 1.21
55.00 -0.04 1.80 1.36
55.00 -0.03 1.76 1.66
60.00 -0.09 1.10 1.56
60.00 0.29 1.51 1.39
60.00 0.02 1.32 1.60
60.00 0.02 0.98 1.39
60.00 0.01 1.33 1.62
65.00 -0.24 1.01 1.20
65.00 -0.40 0.60 1.10
65.00 -0.07 0.68 1.01
65.00 0.67 0.33 0.73
65.00 -0.27 0.60 0.62
70.00 0.21 0.64 1.31
70.00 0.57 0.66 0.56
70.00 0.40 -0.28 0.90
70.00 -0.23 0.25 0.53
70.00 -0.22 -0.35 1.03
75.00 0.00 0.60 0.71
75.00 0.24 -0.09 0.48
75.00 0.56 0.37 0.89
75.00 0.45 0.34 0.71
75.00 0.64 -0.25 0.14
80.00 2.46 0.40 0.87
80.00 2.11 0.42 1.40
80.00 2.06 0.58 1.02
80.00 1.87 0.27 0.88
80.00 1.98 0.46 0.78
