t,S4
0.0000,0.3060
0.0000,0.3311
0.0000,0.3641
0.0000,0.3434
0.0000,0.3579
0.5000,0.1088
0.5000,0.1239
0.5000,0.1375
0.5000,0.1354
0.5000,0.1168
1.0000,0.1586
1.0000,0.1629
1.0000,0.1483
1.0000,0.1597
1.0000,0.1486
1.5000,0.2630
1.5000,0.2703
1.5000,0.2402
1.5000,0.2734
1.5000,0.2558
2.0000,0.1322
2.0000,0.1193
2.0000,0.1371
2.0000,0.1180
2.0000,0.1142
2.5000,0.1414
2.5000,0.1389
2.5000,0.1619
2.5000,0.1668
2.5000,0.1585
3.0000,0.2074
3.0000,0.2048
3.0000,0.2266
3.0000,0.1869
3.0000,0.2013
3.5000,0.1018
3.5000,0.1053
3.5000,0.0926
3.5000,0.1302
3.5000,0.1140
4.0000,0.3164
4.0000,0.3850
4.0000,0.3308
4.0000,0.3908
4.0000,0.4294
4.5000,0.1222
4.5000,0.1420
4.5000,0.1373
4.5000,0.1306
4.5000,0.1461
5.0000,0.1366
5.0000,0.1189
5.0000,0.1099
5.0000,0.1246
5.0000,0.1503
5.5000,0.2415
5.5000,0.2144
5.5000,0.2292
5.5000,0.2054
5.5000,0.1921
6.0000,0.0953
6.0000,0.0996
6.0000,0.0862
6.0000,0.1100
6.0000,0.0966
