t,S3
0.0000,0.2047
0.0000,0.2023
0.0000,0.1957
0.0000,0.1989
0.0000,0.2071
0.5000,0.1079
0.5000,0.1187
0.5000,0.0929
0.5000,0.0919
0.5000,0.0949
1.0000,0.1000
1.0000,0.1012
1.0000,0.0944
1.0000,0.0922
1.0000,0.1026
1.5000,0.3900
1.5000,0.3523
1.5000,0.3599
1.5000,0.3229
1.5000,0.3070
2.0000,0.0507
2.0000,0.0530
2.0000,0.0591
2.0000,0.0599
2.0000,0.0684
2.5000,0.1052
2.5000,0.0901
2.5000,0.0973
2.5000,0.0968
2.5000,0.0988
3.0000,0.1882
3.0000,0.1810
3.0000,0.1580
3.0000,0.1724
3.0000,0.1672
3.5000,0.0440
3.5000,0.0464
3.5000,0.0443
3.5000,0.0395
3.5000,0.0449
4.0000,0.2231
4.0000,0.1755
4.0000,0.1768
4.0000,0.1591
4.0000,0.2274
4.5000,0.0573
4.5000,0.0669
4.5000,0.0677
4.5000,0.0699
4.5000,0.0601
5.0000,0.0890
5.0000,0.0723
5.0000,0.0752
5.0000,0.0782
5.0000,0.0807
5.5000,0.1453
5.5000,0.1873
5.5000,0.1533
5.5000,0.1211
5.5000,0.1307
6.0000,0.0468
6.0000,0.0535
6.0000,0.0452
6.0000,0.0328
6.0000,0.0421
