Time X1 X2 X3
0.00 4.00 2.00 1.00
0.50 3.59 2.45 1.04
1.00 3.11 2.91 1.10
1.50 2.60 3.31 1.18
2.00 2.11 3.63 1.28
2.50 1.68 3.83 1.39
3.00 1.32 3.90 1.53
3.50 1.04 3.88 1.67
4.00 0.82 3.76 1.83
4.50 0.65 3.59 1.99
5.00 0.53 3.37 2.16
5.50 0.44 3.13 2.32
6.00 0.37 2.87 2.48
6.50 0.32 2.62 2.62
7.00 0.28 2.37 2.76
7.50 0.25 2.13 2.88
8.00 0.23 1.91 2.98
8.50 0.21 1.70 3.07
9.00 0.20 1.51 3.14
9.50 0.19 1.34 3.20
10.00 0.19 1.19 3.24
10.50 0.18 1.05 3.27
11.00 0.18 0.93 3.28
11.50 0.18 0.82 3.29
12.00 0.18 0.73 3.28
12.50 0.19 0.64 3.27
13.00 0.19 0.57 3.24
13.50 0.19 0.50 3.22
14.00 0.20 0.45 3.18
14.50 0.21 0.40 3.14
15.00 0.22 0.35 3.10
15.50 0.23 0.31 3.05
16.00 0.24 0.28 3.00
16.50 0.25 0.25 2.95
17.00 0.26 0.23 2.90
17.50 0.28 0.20 2.85
18.00 0.29 0.18 2.79
18.50 0.31 0.16 2.74
19.00 0.33 0.15 2.68
19.50 0.35 0.14 2.63
20.00 0.37 0.12 2.57
20.50 0.39 0.11 2.52
21.00 0.42 0.10 2.46
21.50 0.44 0.10 2.41
22.00 0.47 0.09 2.36
22.50 0.50 0.08 2.31
23.00 0.53 0.08 2.25
23.50 0.57 0.07 2.20
24.00 0.61 0.07 2.15
24.50 0.65 0.06 2.10
25.00 0.69 0.06 2.06
25.50 0.74 0.06 2.01
26.00 0.79 0.05 1.96
26.50 0.84 0.05 1.92
27.00 0.90 0.05 1.87
27.50 0.96 0.05 1.83
28.00 1.03 0.05 1.79
28.50 1.10 0.05 1.74
29.00 1.17 0.04 1.70
29.50 1.25 0.04 1.66
30.00 1.34 0.04 1.62
30.50 1.43 0.04 1.59
31.00 1.53 0.05 1.55
31.50 1.63 0.05 1.51
32.00 1.75 0.05 1.48
32.50 1.87 0.05 1.44
33.00 1.99 0.05 1.41
33.50 2.13 0.06 1.38
34.00 2.27 0.06 1.35
34.50 2.42 0.07 1.32
35.00 2.58 0.07 1.29
35.50 2.75 0.08 1.26
36.00 2.93 0.09 1.23
36.50 3.12 0.11 1.20
37.00 3.31 0.13 1.18
37.50 3.52 0.15 1.15
38.00 3.72 0.18 1.13
38.50 3.93 0.22 1.11
39.00 4.13 0.28 1.09
39.50 4.32 0.35 1.07
40.00 4.48 0.45 1.06
40.50 4.62 0.59 1.05
41.00 4.69 0.77 1.04
41.50 4.69 1.01 1.05
42.00 4.59 1.31 1.06
42.50 4.36 1.70 1.08
43.00 4.01 2.14 1.11
43.50 3.56 2.62 1.16
44.00 3.04 3.08 1.24
44.50 2.51 3.47 1.33
45.00 2.01 3.76 1.45
45.50 1.59 3.92 1.59
46.00 1.24 3.96 1.74
46.50 0.97 3.88 1.91
47.00 0.77 3.73 2.09
47.50 0.62 3.52 2.27
48.00 0.50 3.28 2.45
48.50 0.42 3.01 2.63
49.00 0.36 2.74 2.80
49.50 0.31 2.48 2.95
50.00 0.28 2.22 3.09
50.50 0.25 1.98 3.21
51.00 0.23 1.76 3.31
51.50 0.22 1.56 3.39
52.00 0.21 1.38 3.45
52.50 0.20 1.21 3.50
53.00 0.20 1.07 3.53
53.50 0.19 0.94 3.55
54.00 0.19 0.82 3.56
54.50 0.20 0.72 3.55
55.00 0.20 0.64 3.53
55.50 0.20 0.56 3.51
56.00 0.21 0.49 3.48
56.50 0.22 0.44 3.44
57.00 0.22 0.38 3.40
57.50 0.23 0.34 3.35
58.00 0.24 0.30 3.30
58.50 0.26 0.27 3.24
59.00 0.27 0.24 3.19
59.50 0.28 0.21 3.13
60.00 0.30 0.19 3.07
60.50 0.32 0.17 3.01
61.00 0.34 0.15 2.95
61.50 0.36 0.14 2.89
62.00 0.38 0.13 2.83
62.50 0.40 0.11 2.77
63.00 0.43 0.10 2.71
63.50 0.45 0.10 2.65
64.00 0.48 0.09 2.59
64.50 0.51 0.08 2.54
65.00 0.55 0.07 2.48
65.50 0.58 0.07 2.42
66.00 0.62 0.06 2.37
66.50 0.66 0.06 2.31
67.00 0.71 0.06 2.26
67.50 0.76 0.05 2.21
68.00 0.81 0.05 2.16
68.50 0.86 0.05 2.11
69.00 0.92 0.05 2.06
69.50 0.99 0.05 2.01
70.00 1.05 0.04 1.96
70.50 1.13 0.04 1.92
71.00 1.21 0.04 1.87
71.50 1.29 0.04 1.83
72.00 1.38 0.04 1.79
72.50 1.47 0.04 1.74
73.00 1.57 0.04 1.70
73.50 1.68 0.04 1.66
74.00 1.80 0.05 1.62
74.50 1.92 0.05 1.59
75.00 2.05 0.05 1.55
75.50 2.19 0.05 1.51
76.00 2.34 0.06 1.48
76.50 2.50 0.06 1.45
77.00 2.66 0.07 1.41
77.50 2.84 0.08 1.38
78.00 3.02 0.09 1.35
78.50 3.22 0.11 1.32
79.00 3.42 0.12 1.29
79.50 3.63 0.15 1.27
80.00 3.84 0.18 1.24
