Time X1 X2 X3
0.00 4.17 7.34 2.43
0.00 4.06 7.77 2.88
0.00 4.50 7.33 2.54
0.00 3.86 7.08 2.68
0.00 4.47 7.47 2.66
5.00 0.56 28.60 8.79
5.00 0.52 29.55 8.30
5.00 0.52 27.71 8.95
5.00 0.54 28.57 9.69
5.00 0.44 30.46 8.04
10.00 0.19 3.56 24.55
10.00 0.19 3.35 28.23
10.00 0.19 3.49 28.00
10.00 0.20 3.02 25.23
10.00 0.18 3.52 24.66
15.00 0.22 1.54 23.60
15.00 0.21 1.35 23.40
15.00 0.22 1.49 21.45
15.00 0.24 1.35 22.83
15.00 0.23 1.42 21.31
20.00 0.35 1.16 12.72
20.00 0.37 1.15 12.72
20.00 0.34 1.15 13.60
20.00 0.38 1.28 12.41
20.00 0.33 1.12 13.14
25.00 0.65 1.00 7.43
25.00 0.71 1.05 7.77
25.00 0.65 1.05 8.39
25.00 0.70 1.06 7.66
25.00 0.59 1.16 8.03
30.00 1.18 0.99 5.59
30.00 1.43 0.96 5.03
30.00 1.31 1.12 4.98
30.00 1.31 0.97 5.17
30.00 1.46 1.11 5.03
35.00 2.57 1.12 3.30
35.00 2.42 1.07 3.86
35.00 2.64 1.06 3.68
35.00 2.75 0.98 3.89
35.00 2.51 1.15 3.72
40.00 4.53 1.64 2.77
40.00 4.71 1.50 3.17
40.00 4.10 1.65 2.82
40.00 4.49 1.53 2.83
40.00 4.18 1.40 3.10
45.00 1.92 43.27 4.09
45.00 2.00 41.15 4.37
45.00 2.09 41.81 4.24
45.00 2.08 47.17 4.15
45.00 2.13 42.63 4.41
50.00 0.28 9.09 22.76
50.00 0.29 8.93 20.26
50.00 0.29 9.27 22.23
50.00 0.26 8.86 22.16
50.00 0.30 9.07 20.46
55.00 0.20 1.99 35.97
55.00 0.22 1.73 37.77
55.00 0.21 1.87 35.29
55.00 0.19 1.76 33.96
55.00 0.21 1.92 31.14
60.00 0.29 1.05 21.03
60.00 0.34 1.17 20.91
60.00 0.31 1.28 22.75
60.00 0.31 1.20 21.21
60.00 0.31 1.06 22.67
65.00 0.51 1.04 11.63
65.00 0.53 1.01 12.04
65.00 0.54 0.94 13.16
65.00 0.52 1.20 11.89
65.00 0.50 1.05 11.99
70.00 1.08 1.06 7.09
70.00 1.06 1.09 6.86
70.00 1.00 1.11 7.11
70.00 1.03 1.04 7.19
70.00 1.03 1.03 7.04
75.00 1.90 1.07 4.23
75.00 1.96 0.97 4.33
75.00 2.05 1.11 4.42
75.00 2.26 1.06 4.56
75.00 2.04 0.99 4.78
80.00 3.83 1.25 3.64
80.00 3.92 1.27 3.35
80.00 3.53 1.10 3.55
80.00 3.72 1.10 3.44
80.00 3.80 1.15 3.46
