a1 a2 a3 a4 a5 a6 a7 RMSE it
2.149e-01 4.811e-02 6.347e-01 5.065e-01 2.017e-02 1.000e-03 6.120e-02 1.000e+10 0
3.121e-01 1.665e-02 2.368e-01 5.378e-01 3.966e-02 7.262e-02 3.581e-02 1.000e+10 0
2.190e-01 5.201e-01 7.112e-01 7.714e-01 4.883e-02 3.974e-02 7.333e-02 1.000e+10 0
1.000e+00 4.140e-01 5.795e-01 2.723e-01 9.201e-02 3.717e-02 5.276e-02 1.000e+10 0
9.319e-01 9.654e-01 3.079e-01 1.000e-03 4.537e-02 7.686e-02 4.301e-02 1.000e+10 0
5.582e-01 8.801e-01 9.431e-01 1.000e-03 9.030e-02 1.311e-03 6.053e-02 1.000e+10 0
4.001e-01 6.365e-01 9.576e-01 1.000e-03 6.679e-02 4.885e-02 7.518e-02 1.000e+10 0
3.873e-02 5.420e-01 6.048e-01 4.094e-01 6.915e-02 1.000e-01 1.513e-02 1.000e+10 0
8.461e-01 4.561e-01 4.792e-02 6.447e-02 8.866e-02 3.314e-02 5.924e-02 1.000e+10 0
7.573e-01 1.000e-03 5.490e-01 5.102e-01 2.590e-03 6.511e-02 5.706e-02 1.000e+10 0
1.000e+00 3.288e-01 1.000e-03 5.652e-02 6.084e-02 5.770e-02 8.550e-02 1.000e+10 0
6.638e-02 1.000e-03 5.857e-01 4.035e-01 2.925e-03 2.777e-02 4.400e-02 1.000e+10 0
1.000e+00 3.371e-01 3.401e-01 1.160e-01 4.415e-02 1.916e-02 9.435e-02 1.000e+10 0
5.890e-01 4.717e-01 3.778e-01 5.258e-01 4.084e-02 8.764e-02 5.495e-02 1.000e+10 0
5.157e-01 4.808e-01 2.138e-01 7.634e-01 1.000e-03 7.852e-02 8.046e-02 1.000e+10 0
9.694e-01 9.708e-01 1.000e+00 7.156e-01 4.704e-02 1.512e-02 1.000e-01 1.000e+10 0
4.927e-01 8.145e-01 8.253e-01 7.254e-01 4.358e-03 1.907e-02 2.430e-02 1.000e+10 0
1.000e+00 7.101e-01 4.731e-01 2.041e-02 4.324e-02 7.190e-02 5.425e-02 1.000e+10 0
3.158e-01 1.392e-01 6.131e-01 3.640e-03 8.720e-03 5.177e-02 8.236e-02 1.000e+10 0
8.285e-01 6.252e-01 4.499e-01 6.126e-01 1.000e-01 2.079e-02 1.000e-01 1.000e+10 0
6.385e-01 1.532e-01 7.334e-01 7.940e-01 8.729e-02 1.000e-01 1.000e-01 1.000e+10 0
8.747e-01 9.705e-01 5.590e-01 7.571e-01 2.030e-02 7.940e-02 2.380e-02 1.000e+10 0
6.325e-01 6.981e-01 6.183e-01 4.089e-01 1.527e-02 8.583e-02 2.816e-02 1.000e+10 0
8.089e-01 1.000e-03 2.158e-02 3.272e-01 4.521e-02 2.718e-02 1.000e-01 1.000e+10 0
6.593e-01 6.660e-01 2.686e-01 1.000e-03 4.306e-02 4.439e-02 1.536e-02 1.000e+10 0
5.106e-01 4.920e-01 1.000e-03 4.547e-01 4.722e-03 6.220e-02 1.563e-02 1.000e+10 0
4.789e-01 8.782e-01 7.495e-01 7.210e-01 7.154e-02 1.000e-01 1.000e-03 1.000e+10 0
6.070e-01 1.000e-03 5.629e-01 1.000e+00 6.352e-02 8.888e-02 1.000e-01 1.000e+10 0
6.871e-02 2.255e-01 4.645e-01 1.000e-03 4.073e-02 4.991e-02 1.000e-03 1.000e+10 0
7.086e-01 3.509e-01 3.511e-01 1.644e-01 1.000e-03 5.897e-02 5.228e-02 1.000e+10 0
7.302e-01 5.940e-01 5.476e-01 4.899e-01 1.012e-02 5.325e-02 7.498e-02 1.000e+10 0
1.000e+00 1.000e+00 6.432e-01 3.900e-01 3.064e-02 8.645e-02 7.348e-02 1.000e+10 0
1.000e+00 1.405e-02 9.201e-01 2.021e-01 6.602e-02 7.175e-02 6.062e-02 1.000e+10 0
1.037e-01 6.320e-01 7.758e-01 1.000e+00 8.215e-02 5.531e-02 2.988e-02 1.000e+10 0
6.957e-01 4.935e-01 2.405e-01 1.000e+00 8.173e-02 4.073e-02 8.123e-02 1.000e+10 0
6.469e-01 6.824e-01 1.696e-01 5.284e-03 1.000e-01 7.381e-02 1.000e-03 1.000e+10 0
2.775e-01 3.932e-02 7.259e-01 5.607e-02 8.778e-02 6.174e-02 5.389e-02 1.000e+10 0
6.993e-01 3.290e-01 1.488e-01 1.000e+00 1.085e-02 3.965e-02 9.378e-02 1.000e+10 0
4.454e-01 1.000e-03 2.549e-01 5.322e-01 1.159e-02 6.815e-02 3.777e-02 1.000e+10 0
2.971e-01 7.468e-01 9.092e-01 4.142e-01 7.846e-02 1.000e-03 1.000e-03 1.000e+10 0
3.422e-01 6.679e-01 8.062e-01 7.930e-01 2.989e-02 9.867e-03 3.610e-02 1.000e+10 0
2.306e-01 5.712e-01 8.431e-01 1.000e+00 6.882e-02 7.880e-02 5.714e-02 1.000e+10 0
3.298e-01 2.535e-01 1.000e-03 5.033e-01 7.901e-02 5.900e-02 9.366e-02 1.000e+10 0
4.517e-01 6.421e-01 9.706e-01 7.348e-01 5.071e-02 3.686e-02 1.787e-02 1.000e+10 0
6.305e-01 1.000e-03 6.251e-01 1.000e-03 1.000e-01 3.916e-02 7.736e-02 1.000e+10 0
