Time X1 X2 X3
0.00 4.00 2.00 1.00
2.50 1.68 3.83 1.39
5.00 0.53 3.37 2.16
7.50 0.25 2.13 2.88
10.00 0.19 1.19 3.24
12.50 0.19 0.64 3.27
15.00 0.22 0.35 3.10
17.50 0.28 0.20 2.85
20.00 0.37 0.12 2.57
22.50 0.50 0.08 2.31
25.00 0.69 0.06 2.06
27.50 0.96 0.05 1.83
30.00 1.34 0.04 1.62
32.50 1.87 0.05 1.44
35.00 2.58 0.07 1.29
37.50 3.52 0.15 1.15
40.00 4.48 0.45 1.06
42.50 4.36 1.70 1.08
45.00 2.01 3.76 1.45
47.50 0.62 3.52 2.27
50.00 0.28 2.22 3.09
52.50 0.20 1.21 3.50
55.00 0.20 0.64 3.53
57.50 0.23 0.34 3.35
60.00 0.30 0.19 3.07
62.50 0.40 0.11 2.77
65.00 0.55 0.07 2.48
67.50 0.76 0.05 2.21
70.00 1.05 0.04 1.96
72.50 1.47 0.04 1.74
75.00 2.05 0.05 1.55
77.50 2.84 0.08 1.38
80.00 3.84 0.18 1.24
