Time X1 X2 X3
0.00 4.00 2.00 1.00
0.50 3.86 2.54 1.14
1.00 3.51 3.18 1.29
1.50 2.99 3.84 1.44
2.00 2.40 4.45 1.56
2.50 1.83 4.94 1.66
3.00 1.34 5.26 1.72
3.50 0.96 5.43 1.76
4.00 0.68 5.46 1.77
4.50 0.48 5.39 1.77
5.00 0.35 5.27 1.75
5.50 0.25 5.10 1.73
6.00 0.19 4.90 1.70
6.50 0.14 4.70 1.67
7.00 0.11 4.49 1.63
7.50 0.08 4.28 1.60
8.00 0.07 4.07 1.57
8.50 0.05 3.87 1.53
9.00 0.04 3.68 1.50
9.50 0.04 3.49 1.46
10.00 0.03 3.31 1.43
10.50 0.03 3.14 1.39
11.00 0.02 2.98 1.36
11.50 0.02 2.83 1.33
12.00 0.02 2.68 1.30
12.50 0.02 2.54 1.27
13.00 0.02 2.41 1.24
13.50 0.02 2.28 1.21
14.00 0.02 2.16 1.18
14.50 0.02 2.05 1.15
15.00 0.02 1.94 1.12
15.50 0.01 1.84 1.09
16.00 0.02 1.74 1.07
16.50 0.02 1.65 1.04
17.00 0.02 1.56 1.02
17.50 0.02 1.48 0.99
18.00 0.02 1.40 0.97
18.50 0.02 1.33 0.94
19.00 0.02 1.26 0.92
19.50 0.02 1.20 0.90
20.00 0.02 1.13 0.88
20.50 0.02 1.07 0.86
21.00 0.02 1.02 0.84
21.50 0.03 0.97 0.82
22.00 0.03 0.92 0.80
22.50 0.03 0.87 0.78
23.00 0.03 0.82 0.76
23.50 0.04 0.78 0.74
24.00 0.04 0.74 0.73
24.50 0.05 0.71 0.71
25.00 0.05 0.67 0.69
25.50 0.06 0.64 0.68
26.00 0.07 0.61 0.66
26.50 0.08 0.58 0.65
27.00 0.09 0.55 0.63
27.50 0.10 0.52 0.62
28.00 0.12 0.50 0.61
28.50 0.13 0.48 0.60
29.00 0.16 0.46 0.58
29.50 0.18 0.44 0.57
30.00 0.21 0.42 0.56
30.50 0.24 0.40 0.56
31.00 0.28 0.39 0.55
31.50 0.33 0.38 0.54
32.00 0.38 0.37 0.53
32.50 0.45 0.36 0.53
33.00 0.52 0.35 0.53
33.50 0.61 0.35 0.53
34.00 0.72 0.35 0.53
34.50 0.84 0.35 0.53
35.00 0.98 0.35 0.54
35.50 1.15 0.36 0.55
36.00 1.34 0.37 0.56
36.50 1.56 0.40 0.58
37.00 1.81 0.42 0.60
37.50 2.09 0.47 0.64
38.00 2.39 0.52 0.68
38.50 2.72 0.60 0.73
39.00 3.05 0.70 0.80
39.50 3.38 0.85 0.89
40.00 3.65 1.04 1.00
40.50 3.85 1.31 1.13
41.00 3.91 1.66 1.29
41.50 3.80 2.10 1.47
42.00 3.51 2.61 1.66
42.50 3.06 3.17 1.85
43.00 2.52 3.70 2.01
43.50 1.97 4.14 2.15
44.00 1.48 4.46 2.24
44.50 1.09 4.64 2.30
45.00 0.79 4.71 2.33
45.50 0.57 4.69 2.34
46.00 0.41 4.60 2.32
46.50 0.30 4.47 2.30
47.00 0.22 4.31 2.26
47.50 0.17 4.14 2.23
48.00 0.13 3.97 2.18
48.50 0.10 3.79 2.14
49.00 0.08 3.61 2.09
49.50 0.06 3.43 2.05
50.00 0.05 3.26 2.00
50.50 0.04 3.10 1.96
51.00 0.04 2.94 1.91
51.50 0.03 2.79 1.87
52.00 0.03 2.65 1.82
52.50 0.03 2.51 1.78
53.00 0.02 2.38 1.74
53.50 0.02 2.26 1.70
54.00 0.02 2.14 1.66
54.50 0.02 2.03 1.62
55.00 0.02 1.92 1.58
55.50 0.02 1.82 1.54
56.00 0.02 1.73 1.50
56.50 0.02 1.64 1.47
57.00 0.02 1.55 1.43
57.50 0.02 1.47 1.40
58.00 0.02 1.39 1.36
58.50 0.02 1.32 1.33
59.00 0.02 1.25 1.30
59.50 0.02 1.19 1.27
60.00 0.02 1.12 1.24
60.50 0.02 1.06 1.21
61.00 0.02 1.01 1.18
61.50 0.02 0.96 1.15
62.00 0.02 0.91 1.12
62.50 0.02 0.86 1.10
63.00 0.03 0.82 1.07
63.50 0.03 0.77 1.04
64.00 0.03 0.73 1.02
64.50 0.03 0.70 1.00
65.00 0.04 0.66 0.97
65.50 0.04 0.63 0.95
66.00 0.04 0.60 0.93
66.50 0.05 0.57 0.91
67.00 0.06 0.54 0.89
67.50 0.06 0.51 0.87
68.00 0.07 0.49 0.85
68.50 0.08 0.46 0.83
69.00 0.09 0.44 0.81
69.50 0.10 0.42 0.79
70.00 0.12 0.40 0.78
70.50 0.14 0.38 0.76
71.00 0.16 0.37 0.75
71.50 0.18 0.35 0.74
72.00 0.21 0.34 0.72
72.50 0.24 0.32 0.71
73.00 0.28 0.31 0.70
73.50 0.32 0.30 0.69
74.00 0.38 0.29 0.68
74.50 0.44 0.29 0.68
75.00 0.51 0.28 0.67
75.50 0.59 0.28 0.67
76.00 0.69 0.28 0.67
76.50 0.80 0.28 0.68
77.00 0.93 0.28 0.68
77.50 1.09 0.29 0.69
78.00 1.26 0.29 0.71
78.50 1.46 0.31 0.73
79.00 1.69 0.33 0.76
79.50 1.94 0.36 0.79
80.00 2.22 0.39 0.84
