Time X1 X2 X3
0.00 4.18 7.48 3.11
0.00 3.93 7.56 2.84
0.00 4.22 7.36 2.85
0.00 4.32 7.57 2.62
0.00 3.69 6.62 2.82
5.00 0.34 191.11 6.32
5.00 0.38 201.77 5.73
5.00 0.35 193.30 5.85
5.00 0.35 210.74 6.14
5.00 0.36 193.19 5.49
10.00 0.03 26.96 3.98
10.00 0.03 27.10 4.03
10.00 0.03 26.89 3.98
10.00 0.03 27.10 4.13
10.00 0.03 29.06 4.33
15.00 0.01 6.56 3.24
15.00 0.01 7.41 3.12
15.00 0.02 6.52 3.28
15.00 0.02 6.96 3.02
15.00 0.01 6.94 3.07
20.00 0.02 2.91 2.37
20.00 0.02 2.99 2.36
20.00 0.02 3.07 2.46
20.00 0.02 3.19 2.58
20.00 0.02 3.05 2.66
25.00 0.05 2.00 1.92
25.00 0.05 1.96 2.07
25.00 0.05 2.11 2.01
25.00 0.06 1.86 1.81
25.00 0.05 1.87 1.84
30.00 0.21 1.56 1.72
30.00 0.21 1.42 1.82
30.00 0.22 1.61 1.61
30.00 0.20 1.43 1.67
30.00 0.20 1.46 1.65
35.00 0.93 1.46 1.66
35.00 0.99 1.40 1.71
35.00 0.94 1.41 1.68
35.00 0.91 1.50 1.66
35.00 0.89 1.44 1.60
40.00 3.47 2.87 2.69
40.00 3.54 2.70 3.02
40.00 3.87 2.75 2.74
40.00 3.92 2.65 2.68
40.00 3.80 2.75 2.77
45.00 0.83 108.34 9.53
45.00 0.82 107.48 9.77
45.00 0.75 103.38 9.47
45.00 0.85 114.19 10.67
45.00 0.79 112.95 10.28
50.00 0.05 25.56 7.49
50.00 0.06 27.27 7.52
50.00 0.05 27.36 7.67
50.00 0.06 25.06 7.15
50.00 0.05 25.00 6.91
55.00 0.02 7.53 4.79
55.00 0.02 7.16 4.82
55.00 0.02 6.76 4.63
55.00 0.02 6.87 4.73
55.00 0.02 6.62 4.56
60.00 0.02 3.03 3.40
60.00 0.02 2.91 3.47
60.00 0.02 2.94 3.49
60.00 0.02 2.75 3.70
60.00 0.02 2.97 3.45
65.00 0.04 2.01 2.63
65.00 0.03 1.88 2.68
65.00 0.03 1.92 2.59
65.00 0.03 1.92 2.70
65.00 0.04 2.04 2.74
70.00 0.12 1.44 2.04
70.00 0.11 1.47 2.24
70.00 0.13 1.45 2.24
70.00 0.14 1.45 2.24
70.00 0.13 1.56 2.27
75.00 0.51 1.27 1.82
75.00 0.47 1.26 2.03
75.00 0.52 1.45 2.10
75.00 0.52 1.30 1.91
75.00 0.53 1.36 2.02
80.00 2.27 1.52 2.35
80.00 2.25 1.55 2.40
80.00 2.16 1.53 2.41
80.00 2.30 1.34 2.40
80.00 2.02 1.48 2.20
