Time X1 X2 X3
0.00 4.46 2.36 1.02
0.00 3.90 1.84 0.66
0.00 3.99 2.05 0.78
0.00 3.99 1.82 1.25
0.00 3.81 1.87 1.32
5.00 0.80 2.15 3.00
5.00 0.61 2.57 2.81
5.00 0.89 1.74 3.04
5.00 1.05 2.01 2.79
5.00 0.57 1.57 2.76
10.00 2.39 0.23 3.39
10.00 1.92 0.61 3.64
10.00 1.36 0.26 3.25
10.00 1.62 -0.38 3.35
10.00 2.12 0.62 3.75
15.00 4.53 0.42 2.27
15.00 4.52 0.45 1.68
15.00 4.32 0.52 1.61
15.00 4.34 0.53 2.04
15.00 4.38 0.49 1.75
20.00 2.77 1.48 1.39
20.00 2.64 1.52 0.85
20.00 2.61 1.39 1.15
20.00 2.14 1.33 1.39
20.00 2.44 1.75 1.32
25.00 0.60 1.15 1.76
25.00 0.99 1.15 2.03
25.00 0.50 1.54 1.74
25.00 0.53 1.36 1.85
25.00 0.54 1.53 1.24
30.00 1.61 0.16 2.51
30.00 1.00 0.63 2.26
30.00 1.15 0.34 2.15
30.00 1.40 0.42 1.82
30.00 0.63 0.56 2.46
35.00 1.76 0.15 2.09
35.00 1.69 0.19 2.00
35.00 2.29 0.27 1.57
35.00 1.60 0.09 2.32
35.00 1.89 -0.25 1.71
40.00 1.54 0.32 1.70
40.00 1.71 0.29 1.57
40.00 1.85 0.14 1.21
40.00 1.89 -0.01 1.27
40.00 1.92 0.23 1.19
45.00 2.01 0.16 1.04
45.00 1.08 0.21 0.42
45.00 1.67 0.58 1.12
45.00 1.52 0.32 0.29
45.00 1.84 0.27 1.13
50.00 1.17 0.54 0.90
50.00 0.99 0.90 0.53
50.00 0.57 -0.03 0.81
50.00 1.12 0.67 1.26
50.00 1.06 0.20 0.95
55.00 0.48 0.17 0.70
55.00 0.30 0.42 0.91
55.00 0.79 0.53 0.99
55.00 0.21 0.72 0.71
55.00 0.73 0.65 0.94
60.00 0.50 -0.02 0.94
60.00 0.41 0.19 0.82
60.00 -0.28 0.20 1.46
60.00 0.24 0.18 1.08
60.00 0.18 -0.06 0.89
65.00 -0.01 0.00 0.94
65.00 0.50 0.10 1.12
65.00 0.12 0.06 0.92
65.00 0.72 -0.13 0.94
65.00 0.79 0.15 0.54
70.00 0.13 -0.19 0.38
70.00 -0.01 0.36 0.82
70.00 0.28 0.27 1.06
70.00 -0.06 -0.13 0.77
70.00 -0.03 -0.05 0.74
75.00 0.55 0.16 0.92
75.00 0.16 -0.08 0.40
75.00 -0.26 0.04 0.49
75.00 0.63 0.11 0.77
75.00 0.77 0.09 0.72
80.00 0.31 0.57 0.79
80.00 0.01 0.23 0.95
80.00 -0.04 0.33 0.95
80.00 0.26 -0.01 1.00
80.00 -0.48 -0.37 0.82
