Time X Y
0.00 10.00 10.00
2.50 8.71 5.82
5.00 8.95 3.32
7.50 10.11 1.96
10.00 12.01 1.25
12.50 14.63 0.89
15.00 18.05 0.74
17.50 22.35 0.74
20.00 27.53 0.95
22.50 33.27 1.60
25.00 37.91 3.52
27.50 36.52 8.67
30.00 25.36 15.41
32.50 14.69 15.04
35.00 10.03 10.06
37.50 8.71 5.86
40.00 8.94 3.34
42.50 10.09 1.97
45.00 11.98 1.25
47.50 14.60 0.89
50.00 18.00 0.74
52.50 22.29 0.74
55.00 27.47 0.94
57.50 33.20 1.58
60.00 37.88 3.48
62.50 36.60 8.58
65.00 25.52 15.36
67.50 14.78 15.09
70.00 10.06 10.12
72.50 8.72 5.90
75.00 8.94 3.36
77.50 10.08 1.98
80.00 11.95 1.26
