Time X1 X2 X3
0.00 4.15 1.93 1.05
0.00 3.92 1.91 1.05
0.00 4.03 1.73 1.05
0.00 4.04 1.94 1.03
0.00 3.94 1.88 1.12
5.00 0.35 3.32 2.08
5.00 0.49 3.50 2.24
5.00 0.51 3.29 2.14
5.00 0.56 3.28 2.26
5.00 0.44 3.26 2.23
10.00 0.19 1.26 3.21
10.00 0.06 1.15 3.20
10.00 -0.00 1.29 3.26
10.00 0.23 1.12 3.23
10.00 0.31 0.99 3.26
15.00 0.12 0.48 3.08
15.00 0.22 0.36 3.26
15.00 0.17 0.47 3.07
15.00 0.31 0.46 3.03
15.00 0.21 0.18 3.29
20.00 0.33 0.06 2.68
20.00 0.28 0.18 2.46
20.00 0.37 0.28 2.69
20.00 0.28 0.23 2.62
20.00 0.31 0.05 2.51
25.00 0.68 0.01 1.95
25.00 0.71 0.07 1.94
25.00 0.58 0.07 2.07
25.00 0.77 -0.03 2.10
25.00 0.68 0.06 2.19
30.00 1.30 0.18 1.57
30.00 1.30 0.16 1.47
30.00 1.05 0.06 1.55
30.00 1.31 0.11 1.63
30.00 1.52 0.03 1.55
35.00 2.38 0.01 1.25
35.00 2.66 0.04 1.18
35.00 2.49 0.08 1.23
35.00 2.56 0.19 1.36
35.00 2.62 0.06 1.13
40.00 4.51 0.52 0.89
40.00 4.64 0.44 0.90
40.00 4.39 0.53 1.17
40.00 4.49 0.39 0.89
40.00 4.55 0.58 1.13
45.00 1.91 3.82 1.39
45.00 2.01 3.74 1.51
45.00 2.20 3.74 1.46
45.00 1.94 3.70 1.39
45.00 2.01 3.80 1.39
50.00 0.10 2.17 3.17
50.00 0.15 2.23 3.06
50.00 0.37 2.24 3.06
50.00 0.13 2.15 3.16
50.00 0.06 2.16 3.20
55.00 0.18 0.75 3.45
55.00 0.24 0.73 3.45
55.00 -0.02 0.60 3.77
55.00 0.06 0.53 3.63
55.00 0.19 0.72 3.30
60.00 0.22 0.24 3.06
60.00 0.24 0.22 3.11
60.00 0.11 0.06 3.08
60.00 0.22 0.16 3.10
60.00 0.21 0.18 3.10
65.00 0.54 0.07 2.44
65.00 0.41 0.08 2.67
65.00 0.51 0.11 2.47
65.00 0.61 0.12 2.41
65.00 0.44 0.09 2.43
70.00 0.97 -0.01 1.97
70.00 1.08 0.13 1.99
70.00 0.92 -0.11 2.05
70.00 1.15 0.02 1.98
70.00 0.93 0.21 1.89
75.00 2.03 0.17 1.62
75.00 1.88 -0.03 1.36
75.00 2.10 0.17 1.57
75.00 2.15 0.24 1.53
75.00 1.86 0.18 1.61
80.00 3.80 0.29 1.22
80.00 3.94 0.12 1.14
80.00 3.93 0.16 1.21
80.00 3.96 0.07 1.11
80.00 3.94 0.21 1.24
