time	Tc	Tc_Q1	Tc_Q3
3.0000	226.4860	195.6760	265.4050
8.0000	176.2160	104.8650	305.9460
13.0000	153.5140	98.3784	307.5680
18.0000	336.7570	98.3784	406.4860
23.0000	268.6490	161.6220	341.6220
28.0000	271.8920	200.5410	398.3780
33.0000	322.1620	228.1080	502.1620
38.0000	380.5410	255.6760	494.0540
43.0000	301.0810	215.1350	416.2160
48.0000	328.6490	262.1620	518.3780
53.0000	335.1350	257.2970	562.1620
58.0000	380.5410	317.2970	523.2430
63.0000	281.6220	153.5140	511.8920
68.0000	377.2970	299.4590	447.0270
