Time X1 X2 X3
0.00 4.00 2.00 1.00
0.50 3.32 2.29 1.03
1.00 2.71 2.52 1.10
1.50 2.19 2.68 1.21
2.00 1.77 2.75 1.34
2.50 1.45 2.75 1.52
3.00 1.20 2.67 1.72
3.50 1.02 2.53 1.94
4.00 0.90 2.34 2.19
4.50 0.82 2.13 2.43
5.00 0.77 1.89 2.68
5.50 0.75 1.66 2.91
6.00 0.76 1.44 3.12
6.50 0.80 1.23 3.30
7.00 0.86 1.05 3.44
7.50 0.94 0.89 3.55
8.00 1.05 0.75 3.62
8.50 1.20 0.64 3.65
9.00 1.37 0.55 3.64
9.50 1.58 0.48 3.60
10.00 1.82 0.42 3.53
10.50 2.09 0.38 3.42
11.00 2.39 0.35 3.29
11.50 2.70 0.33 3.14
12.00 3.03 0.32 2.96
12.50 3.35 0.32 2.77
13.00 3.64 0.33 2.58
13.50 3.90 0.34 2.38
14.00 4.12 0.37 2.19
14.50 4.27 0.41 2.01
15.00 4.35 0.46 1.84
15.50 4.36 0.53 1.69
16.00 4.31 0.60 1.56
16.50 4.18 0.69 1.45
17.00 4.01 0.79 1.37
17.50 3.78 0.90 1.30
18.00 3.52 1.02 1.25
18.50 3.24 1.13 1.22
19.00 2.94 1.24 1.20
19.50 2.66 1.34 1.21
20.00 2.38 1.43 1.23
20.50 2.12 1.49 1.26
21.00 1.89 1.53 1.30
21.50 1.69 1.55 1.36
22.00 1.51 1.55 1.43
22.50 1.36 1.53 1.50
23.00 1.24 1.49 1.59
23.50 1.14 1.44 1.67
24.00 1.06 1.37 1.76
24.50 1.00 1.29 1.85
25.00 0.95 1.21 1.94
25.50 0.92 1.13 2.02
26.00 0.90 1.04 2.10
26.50 0.89 0.96 2.17
27.00 0.89 0.88 2.23
27.50 0.90 0.80 2.28
28.00 0.92 0.73 2.32
28.50 0.95 0.66 2.35
29.00 0.98 0.60 2.38
29.50 1.02 0.55 2.39
30.00 1.07 0.50 2.39
30.50 1.13 0.46 2.38
31.00 1.19 0.42 2.36
31.50 1.26 0.39 2.34
32.00 1.32 0.36 2.30
32.50 1.40 0.34 2.26
33.00 1.47 0.32 2.21
33.50 1.54 0.30 2.16
34.00 1.62 0.29 2.10
34.50 1.69 0.28 2.04
35.00 1.76 0.27 1.98
35.50 1.82 0.26 1.91
36.00 1.87 0.26 1.85
36.50 1.92 0.26 1.78
37.00 1.96 0.26 1.71
37.50 1.99 0.26 1.65
38.00 2.01 0.26 1.58
38.50 2.02 0.26 1.52
39.00 2.03 0.27 1.46
39.50 2.02 0.27 1.41
40.00 2.00 0.28 1.35
40.50 1.97 0.29 1.30
41.00 1.94 0.29 1.26
41.50 1.90 0.30 1.21
42.00 1.85 0.31 1.17
42.50 1.80 0.32 1.14
43.00 1.74 0.33 1.10
43.50 1.68 0.33 1.07
44.00 1.62 0.34 1.05
44.50 1.56 0.35 1.02
45.00 1.49 0.36 1.00
45.50 1.43 0.36 0.98
46.00 1.36 0.37 0.96
46.50 1.30 0.37 0.95
47.00 1.24 0.37 0.93
47.50 1.18 0.38 0.92
48.00 1.12 0.38 0.91
48.50 1.06 0.38 0.90
49.00 1.01 0.38 0.89
49.50 0.95 0.37 0.89
50.00 0.90 0.37 0.88
50.50 0.86 0.37 0.88
51.00 0.81 0.36 0.87
51.50 0.77 0.36 0.87
52.00 0.73 0.35 0.87
52.50 0.69 0.35 0.87
53.00 0.66 0.34 0.87
53.50 0.62 0.33 0.87
54.00 0.59 0.33 0.87
54.50 0.56 0.32 0.87
55.00 0.54 0.31 0.87
55.50 0.51 0.30 0.87
56.00 0.49 0.29 0.87
56.50 0.46 0.28 0.87
57.00 0.44 0.27 0.87
57.50 0.42 0.26 0.87
58.00 0.40 0.26 0.87
58.50 0.39 0.25 0.87
59.00 0.37 0.24 0.87
59.50 0.35 0.23 0.87
60.00 0.34 0.22 0.87
60.50 0.32 0.21 0.87
61.00 0.31 0.20 0.87
61.50 0.30 0.20 0.87
62.00 0.29 0.19 0.87
62.50 0.28 0.18 0.87
63.00 0.26 0.17 0.86
63.50 0.25 0.17 0.86
64.00 0.25 0.16 0.86
64.50 0.24 0.15 0.86
65.00 0.23 0.15 0.86
65.50 0.22 0.14 0.86
66.00 0.21 0.13 0.86
66.50 0.20 0.13 0.85
67.00 0.20 0.12 0.85
67.50 0.19 0.12 0.85
68.00 0.18 0.11 0.85
68.50 0.18 0.11 0.84
69.00 0.17 0.10 0.84
69.50 0.16 0.10 0.84
70.00 0.16 0.09 0.84
70.50 0.15 0.09 0.83
71.00 0.15 0.08 0.83
71.50 0.14 0.08 0.83
72.00 0.14 0.08 0.82
72.50 0.13 0.07 0.82
73.00 0.13 0.07 0.82
73.50 0.12 0.07 0.81
74.00 0.12 0.06 0.81
74.50 0.12 0.06 0.81
75.00 0.11 0.06 0.80
75.50 0.11 0.06 0.80
76.00 0.11 0.05 0.80
76.50 0.10 0.05 0.79
77.00 0.10 0.05 0.79
77.50 0.09 0.05 0.79
78.00 0.09 0.04 0.78
78.50 0.09 0.04 0.78
79.00 0.09 0.04 0.77
79.50 0.08 0.04 0.77
80.00 0.08 0.04 0.77
