Time X1 X2 X3
0.00 4.02 1.96 1.25
0.00 3.36 2.28 0.73
0.00 4.01 1.99 1.11
0.00 3.76 1.99 0.66
0.00 4.17 2.06 0.71
5.00 1.36 1.42 2.78
5.00 0.21 1.64 2.88
5.00 0.58 1.88 2.67
5.00 0.27 1.90 2.49
5.00 0.50 1.82 2.72
10.00 1.66 0.56 3.74
10.00 1.56 -0.16 3.35
10.00 1.38 0.59 3.08
10.00 2.02 0.74 3.54
10.00 1.82 0.82 3.16
15.00 4.41 0.03 2.04
15.00 4.13 0.62 1.47
15.00 4.43 0.19 1.87
15.00 4.18 0.62 2.07
15.00 4.53 0.20 1.86
20.00 2.15 1.47 0.86
20.00 2.54 1.44 1.53
20.00 2.13 1.47 0.54
20.00 2.61 1.64 1.23
20.00 2.37 1.60 1.24
25.00 1.08 1.38 2.01
25.00 1.24 1.53 1.55
25.00 1.19 0.80 1.65
25.00 1.16 1.16 2.03
25.00 0.90 1.41 1.98
30.00 1.18 0.29 2.47
30.00 0.89 0.45 2.18
30.00 0.89 0.35 2.04
30.00 0.90 0.40 2.35
30.00 1.44 0.03 2.57
35.00 1.72 0.31 1.86
35.00 2.11 0.32 2.26
35.00 2.17 0.30 1.98
35.00 1.67 0.19 2.00
35.00 1.50 0.72 1.84
40.00 2.20 0.13 1.47
40.00 2.30 0.05 1.17
40.00 2.15 0.25 1.36
40.00 2.07 0.13 1.02
40.00 1.78 0.51 1.07
45.00 1.35 0.12 1.15
45.00 1.64 0.10 1.40
45.00 1.24 0.15 1.02
45.00 1.70 0.40 0.93
45.00 1.59 0.19 0.59
50.00 0.81 0.20 0.33
50.00 0.64 -0.18 1.32
50.00 0.94 0.09 1.03
50.00 0.78 0.68 1.34
50.00 1.29 0.38 1.04
55.00 0.76 0.17 0.87
55.00 0.69 0.12 0.60
55.00 1.07 0.48 1.23
55.00 0.24 0.04 0.78
55.00 0.31 0.42 0.84
60.00 0.53 0.14 0.88
60.00 0.62 0.26 1.05
60.00 -0.07 -0.14 0.71
60.00 0.38 0.45 0.37
60.00 0.54 0.09 0.53
65.00 0.00 0.22 1.07
65.00 0.24 0.27 1.20
65.00 0.26 0.61 0.95
65.00 0.27 -0.32 1.01
65.00 0.08 -0.43 1.08
70.00 -0.27 -0.20 0.57
70.00 0.16 0.76 0.64
70.00 0.38 -0.16 0.68
70.00 0.16 0.46 0.63
70.00 0.25 0.09 1.39
75.00 -0.00 0.41 0.78
75.00 0.01 -0.03 0.56
75.00 0.13 0.03 0.93
75.00 0.10 0.18 0.62
75.00 0.37 0.24 0.66
80.00 -0.39 0.03 0.63
80.00 -0.02 -0.15 0.77
80.00 0.01 0.13 0.80
80.00 0.18 -0.26 0.84
80.00 0.33 0.35 0.88
