a8 RMSE
0.05 0.24296
0.059 0.23841
0.068 0.23923
0.077 0.24105
0.086 0.23782
0.095 0.23731
0.104 0.23774
0.113 0.23832
0.122 0.24176
0.131 0.23713
0.14 0.25138
0.149 0.24815
0.158 0.27904
0.167 0.24072
0.176 0.24734
0.185 0.24454
0.194 0.25262
0.203 0.24267
0.212 0.24582
0.221 0.25604
0.23 0.25706
0.239 0.25152
0.248 0.26981
0.257 0.26876
0.266 0.26259
0.275 0.26739
0.284 0.27222
0.293 0.2776
0.302 0.29778
0.311 0.28641
0.32 0.2909
0.329 0.29712
0.338 0.2997
0.347 0.30334
0.356 0.30709
0.365 0.31075
0.374 0.42975
0.383 0.31784
0.392 0.32284
0.401 0.33004
0.41 0.33876
0.419 0.34869
0.428 0.35956
0.437 0.37113
0.446 0.38323
0.455 0.3957
0.464 0.41517
0.473 0.42133
0.482 0.43431
0.491 0.62102
