Time X1 X2 X3
0.00 4.00 2.00 1.00
0.50 3.61 2.33 1.04
1.00 3.17 2.66 1.09
1.50 2.72 2.94 1.16
2.00 2.28 3.18 1.24
2.50 1.88 3.34 1.33
3.00 1.54 3.43 1.44
3.50 1.25 3.46 1.56
4.00 1.02 3.42 1.69
4.50 0.84 3.33 1.82
5.00 0.69 3.20 1.96
5.50 0.58 3.04 2.10
6.00 0.49 2.86 2.23
6.50 0.42 2.67 2.37
7.00 0.37 2.47 2.49
7.50 0.33 2.28 2.61
8.00 0.29 2.08 2.72
8.50 0.27 1.90 2.82
9.00 0.25 1.72 2.90
9.50 0.23 1.56 2.97
10.00 0.22 1.41 3.03
10.50 0.21 1.27 3.07
11.00 0.21 1.14 3.11
11.50 0.21 1.02 3.13
12.00 0.20 0.92 3.15
12.50 0.20 0.83 3.15
13.00 0.21 0.74 3.14
13.50 0.21 0.67 3.13
14.00 0.21 0.60 3.11
14.50 0.22 0.54 3.09
15.00 0.22 0.48 3.06
15.50 0.23 0.44 3.02
16.00 0.24 0.39 2.99
16.50 0.25 0.36 2.95
17.00 0.26 0.32 2.90
17.50 0.27 0.29 2.86
18.00 0.29 0.27 2.81
18.50 0.30 0.24 2.76
19.00 0.32 0.22 2.71
19.50 0.33 0.20 2.66
20.00 0.35 0.19 2.61
20.50 0.37 0.17 2.56
21.00 0.40 0.16 2.51
21.50 0.42 0.15 2.46
22.00 0.44 0.14 2.41
22.50 0.47 0.13 2.36
23.00 0.50 0.12 2.31
23.50 0.53 0.11 2.26
24.00 0.57 0.10 2.21
24.50 0.60 0.10 2.16
25.00 0.64 0.09 2.12
25.50 0.68 0.09 2.07
26.00 0.73 0.08 2.02
26.50 0.77 0.08 1.98
27.00 0.82 0.08 1.93
27.50 0.88 0.08 1.89
28.00 0.94 0.07 1.85
28.50 1.00 0.07 1.81
29.00 1.07 0.07 1.77
29.50 1.14 0.07 1.73
30.00 1.21 0.07 1.69
30.50 1.29 0.07 1.65
31.00 1.38 0.07 1.61
31.50 1.47 0.07 1.57
32.00 1.57 0.07 1.54
32.50 1.68 0.07 1.50
33.00 1.79 0.07 1.47
33.50 1.91 0.07 1.44
34.00 2.03 0.08 1.40
34.50 2.17 0.08 1.37
35.00 2.31 0.09 1.34
35.50 2.46 0.09 1.31
36.00 2.62 0.10 1.28
36.50 2.78 0.11 1.26
37.00 2.96 0.12 1.23
37.50 3.14 0.13 1.20
38.00 3.33 0.15 1.18
38.50 3.53 0.17 1.15
39.00 3.73 0.19 1.13
39.50 3.93 0.22 1.11
40.00 4.14 0.26 1.09
40.50 4.34 0.31 1.07
41.00 4.52 0.38 1.06
41.50 4.69 0.46 1.04
42.00 4.83 0.57 1.03
42.50 4.92 0.70 1.03
43.00 4.96 0.87 1.03
43.50 4.92 1.08 1.03
44.00 4.79 1.34 1.04
44.50 4.57 1.63 1.06
45.00 4.24 1.97 1.09
45.50 3.83 2.32 1.14
46.00 3.37 2.66 1.20
46.50 2.88 2.97 1.27
47.00 2.41 3.22 1.36
47.50 1.98 3.40 1.46
48.00 1.61 3.49 1.58
48.50 1.31 3.51 1.72
49.00 1.06 3.47 1.86
49.50 0.87 3.36 2.01
50.00 0.71 3.22 2.16
50.50 0.60 3.04 2.32
51.00 0.50 2.84 2.47
51.50 0.43 2.64 2.61
52.00 0.38 2.43 2.75
52.50 0.34 2.22 2.88
53.00 0.31 2.02 2.99
53.50 0.28 1.82 3.09
54.00 0.26 1.64 3.17
54.50 0.25 1.48 3.24
55.00 0.24 1.32 3.30
55.50 0.23 1.18 3.34
56.00 0.23 1.06 3.37
56.50 0.23 0.94 3.39
57.00 0.23 0.84 3.39
57.50 0.23 0.75 3.39
58.00 0.23 0.67 3.38
58.50 0.23 0.60 3.36
59.00 0.24 0.53 3.33
59.50 0.25 0.48 3.30
60.00 0.26 0.43 3.26
60.50 0.27 0.38 3.22
61.00 0.28 0.35 3.17
61.50 0.29 0.31 3.12
62.00 0.30 0.28 3.08
62.50 0.32 0.26 3.02
63.00 0.33 0.23 2.97
63.50 0.35 0.21 2.92
64.00 0.37 0.19 2.86
64.50 0.39 0.18 2.81
65.00 0.42 0.16 2.75
65.50 0.44 0.15 2.70
66.00 0.47 0.14 2.64
66.50 0.50 0.13 2.59
67.00 0.53 0.12 2.53
67.50 0.56 0.11 2.48
68.00 0.59 0.10 2.42
68.50 0.63 0.10 2.37
69.00 0.67 0.09 2.32
69.50 0.72 0.09 2.27
70.00 0.76 0.08 2.22
70.50 0.81 0.08 2.17
71.00 0.87 0.07 2.12
71.50 0.92 0.07 2.07
72.00 0.99 0.07 2.02
72.50 1.05 0.07 1.98
73.00 1.12 0.07 1.93
73.50 1.20 0.06 1.89
74.00 1.28 0.06 1.85
74.50 1.36 0.06 1.80
75.00 1.45 0.06 1.76
75.50 1.55 0.06 1.72
76.00 1.66 0.06 1.68
76.50 1.77 0.07 1.64
77.00 1.89 0.07 1.61
77.50 2.01 0.07 1.57
78.00 2.14 0.07 1.54
78.50 2.29 0.08 1.50
79.00 2.44 0.08 1.47
79.50 2.60 0.09 1.43
80.00 2.76 0.09 1.40
