Time X1 X2 X3
0.00 3.74 1.84 1.01
0.00 3.71 1.84 0.92
0.00 3.80 1.98 1.33
0.00 3.91 1.77 0.68
0.00 3.96 2.12 0.46
5.00 0.57 3.18 2.03
5.00 0.67 3.37 1.76
5.00 0.94 3.38 2.63
5.00 0.61 3.62 2.07
5.00 0.94 3.31 2.35
10.00 0.06 0.96 3.13
10.00 0.11 1.07 3.42
10.00 0.11 0.78 3.36
10.00 -0.50 1.09 3.06
10.00 -0.23 1.15 2.49
15.00 0.42 0.23 2.90
15.00 0.02 0.42 2.93
15.00 -0.09 0.48 2.82
15.00 0.15 0.42 3.21
15.00 0.39 0.50 3.29
20.00 0.22 -0.37 2.83
20.00 0.54 0.21 2.26
20.00 0.13 -0.26 2.97
20.00 0.47 0.25 2.65
20.00 0.42 0.05 2.37
25.00 1.30 0.02 1.86
25.00 1.06 0.10 2.05
25.00 1.18 -0.24 2.02
25.00 0.43 0.10 2.07
25.00 0.92 0.14 2.19
30.00 1.84 0.47 2.07
30.00 1.64 0.22 1.65
30.00 1.34 0.04 1.81
30.00 1.50 0.06 1.46
30.00 0.90 0.17 1.44
35.00 3.09 -0.05 1.19
35.00 2.67 0.20 1.18
35.00 2.34 0.02 1.26
35.00 2.67 0.15 1.55
35.00 2.35 -0.29 1.13
40.00 4.48 0.61 1.13
40.00 4.54 0.54 1.46
40.00 4.93 0.96 0.64
40.00 4.05 0.80 0.78
40.00 4.52 0.20 1.44
45.00 1.87 3.85 1.56
45.00 2.27 3.79 1.23
45.00 2.09 4.06 1.33
45.00 2.13 3.89 1.69
45.00 1.89 3.68 1.26
50.00 0.68 2.18 3.34
50.00 0.02 2.44 3.12
50.00 0.04 2.39 2.61
50.00 0.29 2.25 2.89
50.00 0.30 2.06 2.84
55.00 -0.27 0.65 3.42
55.00 0.13 0.10 3.53
55.00 0.24 0.50 3.33
55.00 0.24 0.81 3.53
55.00 0.65 0.39 3.87
60.00 0.15 -0.11 2.67
60.00 0.51 -0.02 2.98
60.00 0.31 -0.38 3.03
60.00 0.08 -0.06 3.51
60.00 0.60 0.33 3.35
65.00 0.39 0.00 2.66
65.00 0.29 0.09 2.76
65.00 0.70 0.10 2.24
65.00 0.42 0.01 2.39
65.00 0.71 0.34 2.72
70.00 0.84 0.04 1.81
70.00 0.99 0.11 1.84
70.00 1.37 0.01 2.31
70.00 0.99 -0.12 1.73
70.00 0.71 -0.25 1.96
75.00 2.30 0.06 1.52
75.00 1.93 0.37 1.29
75.00 1.88 0.02 1.74
75.00 2.08 -0.32 1.06
75.00 2.49 0.18 2.11
80.00 3.72 0.26 0.97
80.00 3.75 -0.01 1.25
80.00 3.96 -0.15 1.13
80.00 3.68 0.13 1.44
80.00 4.20 -0.00 1.41
