a1 a2 a3 a4 a5 a6 a7 RMSE it
1.000e+00 2.576e-02 8.139e-01 7.805e-01 8.001e-01 1.812e-01 7.118e-01 1.000e+10 0
9.395e-01 1.000e-03 8.325e-01 4.492e-01 3.605e-01 7.434e-01 3.027e-01 1.000e+10 0
1.000e+00 1.187e-01 8.301e-01 4.268e-01 4.426e-01 1.000e+00 2.526e-01 1.000e+10 0
5.288e-01 1.000e-03 2.837e-01 9.156e-01 1.086e-02 4.925e-01 1.000e-03 1.000e+10 0
9.527e-01 9.844e-01 6.441e-01 4.378e-01 1.181e-01 6.645e-01 1.000e-03 1.000e+10 0
5.772e-01 1.000e-03 5.731e-01 1.063e-01 7.239e-01 7.842e-01 1.000e-03 1.000e+10 0
1.000e+00 7.681e-01 3.006e-01 2.734e-01 6.944e-01 1.000e+00 3.901e-01 1.000e+10 0
2.887e-02 1.000e-03 3.188e-01 9.417e-01 5.213e-01 1.000e+00 2.761e-01 1.000e+10 0
3.756e-01 1.000e+00 5.117e-01 1.000e-03 3.400e-01 4.049e-01 3.089e-01 1.000e+10 0
1.614e-01 8.868e-01 1.000e-03 6.610e-01 4.086e-01 6.057e-01 6.972e-01 1.000e+10 0
1.878e-01 2.637e-01 2.152e-01 2.155e-02 1.204e-01 8.190e-01 1.669e-01 1.000e+10 0
9.350e-01 4.977e-01 9.666e-02 9.890e-01 4.205e-01 4.937e-01 6.319e-01 1.000e+10 0
7.157e-01 6.568e-01 7.845e-03 1.000e-03 5.082e-01 7.495e-02 7.331e-01 1.000e+10 0
6.628e-01 1.000e+00 1.000e-03 2.016e-01 4.610e-01 3.385e-01 6.717e-01 1.000e+10 0
3.555e-01 4.815e-01 2.812e-01 9.825e-01 1.000e+00 5.166e-01 5.103e-01 1.000e+10 0
3.065e-01 7.251e-01 2.090e-01 1.000e-03 5.174e-01 9.187e-01 6.994e-01 1.000e+10 0
8.801e-02 5.912e-01 1.146e-01 1.000e+00 2.260e-01 8.634e-01 9.915e-01 1.000e+10 0
1.000e+00 9.317e-01 7.051e-01 8.091e-01 4.778e-01 1.749e-01 4.540e-01 1.000e+10 0
1.000e+00 5.235e-01 5.196e-01 6.417e-01 2.303e-01 5.225e-01 9.948e-01 2.955e+00 0
1.262e-01 9.896e-01 1.000e-03 1.000e-03 9.890e-01 8.283e-01 9.723e-01 1.000e+10 0
1.000e-03 1.000e+00 5.538e-01 1.000e+00 5.200e-01 2.573e-01 3.931e-01 1.000e+10 0
9.121e-01 5.655e-01 1.935e-01 9.747e-01 9.953e-01 7.488e-01 9.975e-02 1.000e+10 0
5.323e-01 6.874e-01 1.000e-03 1.000e-03 7.107e-01 6.587e-01 7.783e-01 1.000e+10 0
1.153e-02 9.169e-01 3.119e-01 1.000e+00 1.000e-03 1.000e+00 2.810e-01 1.000e+10 0
1.000e-03 5.335e-01 2.714e-01 4.041e-01 1.845e-01 8.256e-01 8.301e-01 1.000e+10 0
6.744e-01 2.508e-01 4.290e-01 1.000e+00 3.747e-01 1.000e-03 5.455e-01 1.000e+10 0
9.814e-01 4.707e-01 1.870e-03 6.638e-01 2.995e-01 4.079e-01 1.000e+00 1.000e+10 0
1.000e-03 3.530e-01 1.373e-01 1.000e+00 1.417e-02 1.000e+00 1.000e+00 1.000e+10 0
1.600e-01 1.805e-01 7.465e-01 9.538e-01 7.414e-01 5.382e-01 2.540e-01 1.000e+10 0
8.132e-01 3.012e-01 1.000e+00 1.000e+00 3.794e-01 6.872e-01 4.965e-01 1.000e+10 0
3.981e-01 9.678e-01 8.750e-01 6.014e-01 9.363e-01 2.603e-01 3.607e-01 1.000e+10 0
4.986e-01 9.245e-01 3.723e-01 1.364e-01 9.192e-01 1.000e-03 6.009e-01 1.000e+10 0
8.583e-01 5.453e-01 7.879e-01 7.333e-01 8.455e-01 2.959e-01 7.317e-01 1.000e+10 0
4.961e-01 1.000e+00 8.526e-01 8.394e-01 1.000e+00 4.864e-01 3.110e-01 1.000e+10 0
1.000e-03 5.677e-01 1.000e+00 7.107e-01 5.060e-01 8.687e-01 2.406e-01 1.000e+10 0
8.871e-01 4.045e-01 5.333e-01 1.000e-03 6.301e-01 9.430e-01 1.000e-03 1.000e+10 0
1.707e-01 5.648e-01 3.439e-01 7.763e-01 1.000e-03 3.625e-01 1.000e-03 1.000e+10 0
6.619e-01 1.819e-01 9.914e-02 5.455e-01 5.469e-01 6.639e-01 9.647e-01 1.000e+10 0
9.044e-01 6.675e-01 3.811e-01 1.000e+00 5.067e-01 1.000e-03 4.890e-01 1.000e+10 0
1.000e-03 4.261e-01 8.258e-01 7.394e-01 9.665e-01 2.343e-01 7.582e-01 1.000e+10 0
7.126e-02 7.074e-01 7.307e-01 4.942e-01 5.119e-01 1.000e+00 3.474e-01 1.000e+10 0
1.000e-03 9.427e-01 2.887e-01 5.508e-02 9.323e-02 3.494e-01 8.676e-01 1.000e+10 0
1.000e+00 1.000e-03 6.907e-01 8.161e-01 7.156e-01 1.057e-02 1.000e-03 1.000e+10 0
2.758e-01 3.588e-01 5.440e-01 7.855e-01 1.220e-01 1.821e-01 7.963e-01 1.000e+10 0
1.000e+00 5.888e-01 6.918e-02 3.221e-01 5.074e-01 1.000e-03 5.673e-01 1.000e+10 0
1.000e-03 7.833e-01 3.633e-01 7.932e-01 5.248e-01 8.189e-01 2.550e-01 1.000e+10 0
1.000e+00 9.752e-01 5.140e-01 1.160e-01 1.579e-01 6.153e-01 1.011e-01 1.000e+10 0
