a1 a2 a3 a4 a5 a6 a7 RMSE it
7.975e-02 8.497e-02 5.023e-01 1.619e-01 2.310e-01 7.910e-01 1.368e-03 4.441e+02 0
5.844e-02 5.905e-01 4.099e-01 8.466e-03 2.683e-01 3.989e-01 1.649e-01 1.432e+00 0
5.051e-01 8.570e-01 3.785e-01 8.910e-02 6.026e-01 1.060e-01 1.967e-01 1.523e+00 0
3.620e-01 4.955e-01 7.613e-01 4.480e-01 4.466e-01 2.998e-01 6.991e-01 1.494e+00 0
3.299e-01 5.232e-01 2.149e-01 2.663e-01 2.767e-01 4.241e-02 3.671e-01 1.574e+00 0
1.068e-01 5.061e-01 9.848e-02 2.285e-02 4.182e-01 4.782e-01 9.326e-01 1.776e+00 0
1.000e-03 7.515e-01 1.261e-01 5.788e-01 1.626e-01 7.986e-01 6.178e-01 1.537e+00 0
1.000e-03 8.432e-01 3.119e-01 4.580e-01 2.467e-01 1.000e+00 2.859e-02 1.443e+00 0
1.017e-01 1.000e+00 1.000e+00 9.833e-01 2.435e-01 1.612e-01 7.720e-01 1.906e+00 0
3.948e-01 5.065e-01 8.891e-01 8.338e-01 6.703e-01 2.233e-01 3.242e-01 1.373e+00 0
4.622e-01 6.979e-01 1.000e+00 6.963e-01 5.769e-01 5.370e-01 8.737e-01 1.560e+00 0
8.265e-02 7.088e-01 4.442e-01 4.892e-01 5.370e-01 9.449e-01 6.321e-01 1.455e+00 0
1.991e-01 8.858e-01 3.455e-01 6.864e-01 9.563e-01 1.723e-01 1.000e-03 1.980e+01 0
1.128e-01 7.252e-01 5.013e-01 1.304e-01 7.667e-01 2.938e-01 2.063e-01 1.739e+00 0
1.276e-01 6.160e-01 5.804e-01 6.974e-01 4.175e-01 2.997e-01 5.798e-01 1.581e+00 0
3.691e-01 8.142e-01 7.758e-01 8.293e-01 1.764e-01 6.705e-01 8.780e-01 1.658e+00 0
6.560e-01 4.593e-01 7.745e-01 6.351e-01 5.941e-01 1.972e-01 4.954e-01 1.432e+00 0
7.043e-01 8.535e-01 7.880e-03 4.370e-01 5.120e-01 7.624e-01 7.929e-01 1.194e+02 0
1.000e-03 5.487e-01 7.767e-02 2.962e-01 7.103e-01 1.000e+00 9.513e-01 1.295e+00 0
7.613e-01 1.926e-01 8.694e-01 6.300e-01 2.875e-01 1.000e-03 3.400e-01 1.576e+00 0
2.062e-03 8.657e-01 7.369e-01 7.029e-01 7.518e-01 8.033e-01 2.117e-01 1.376e+00 0
