Time X1 X2 X3
0.00 4.00 2.00 1.00
0.50 3.32 2.28 1.05
1.00 2.72 2.49 1.13
1.50 2.21 2.63 1.24
2.00 1.80 2.69 1.38
2.50 1.48 2.67 1.56
3.00 1.24 2.58 1.76
3.50 1.07 2.43 1.97
4.00 0.95 2.24 2.21
4.50 0.87 2.03 2.44
5.00 0.82 1.81 2.66
5.50 0.81 1.59 2.87
6.00 0.82 1.37 3.06
6.50 0.86 1.18 3.21
7.00 0.92 1.01 3.34
7.50 1.00 0.86 3.43
8.00 1.12 0.73 3.48
8.50 1.26 0.63 3.51
9.00 1.43 0.54 3.50
9.50 1.63 0.47 3.47
10.00 1.85 0.42 3.40
10.50 2.11 0.38 3.32
11.00 2.40 0.35 3.21
11.50 2.70 0.33 3.08
12.00 3.01 0.32 2.94
12.50 3.33 0.32 2.78
13.00 3.63 0.32 2.62
13.50 3.91 0.34 2.45
14.00 4.15 0.36 2.29
14.50 4.34 0.40 2.13
15.00 4.48 0.44 1.98
15.50 4.55 0.50 1.84
16.00 4.55 0.57 1.72
16.50 4.48 0.66 1.61
17.00 4.36 0.75 1.52
17.50 4.17 0.86 1.45
18.00 3.94 0.98 1.40
18.50 3.68 1.10 1.37
19.00 3.39 1.22 1.35
19.50 3.10 1.33 1.36
20.00 2.81 1.43 1.38
20.50 2.53 1.51 1.41
21.00 2.28 1.56 1.46
21.50 2.05 1.59 1.52
22.00 1.85 1.60 1.59
22.50 1.68 1.58 1.68
23.00 1.55 1.55 1.77
23.50 1.43 1.49 1.86
24.00 1.35 1.42 1.95
24.50 1.28 1.34 2.05
25.00 1.23 1.25 2.14
25.50 1.20 1.16 2.22
26.00 1.19 1.07 2.29
26.50 1.19 0.99 2.36
27.00 1.21 0.91 2.41
27.50 1.24 0.83 2.46
28.00 1.28 0.76 2.49
28.50 1.33 0.69 2.51
29.00 1.39 0.64 2.51
29.50 1.46 0.59 2.51
30.00 1.54 0.54 2.49
30.50 1.63 0.51 2.47
31.00 1.72 0.47 2.43
31.50 1.81 0.45 2.39
32.00 1.91 0.43 2.34
32.50 2.01 0.41 2.28
33.00 2.11 0.40 2.22
33.50 2.20 0.39 2.16
34.00 2.29 0.38 2.09
34.50 2.36 0.38 2.02
35.00 2.43 0.38 1.95
35.50 2.49 0.38 1.88
36.00 2.53 0.39 1.81
36.50 2.56 0.40 1.75
37.00 2.58 0.41 1.68
37.50 2.58 0.43 1.62
38.00 2.57 0.44 1.57
38.50 2.54 0.46 1.51
39.00 2.50 0.48 1.47
39.50 2.45 0.50 1.42
40.00 2.39 0.52 1.38
40.50 2.32 0.54 1.35
41.00 2.24 0.55 1.32
41.50 2.16 0.57 1.29
42.00 2.07 0.59 1.27
42.50 1.99 0.61 1.25
43.00 1.90 0.62 1.23
43.50 1.81 0.63 1.22
44.00 1.72 0.64 1.21
44.50 1.64 0.65 1.21
45.00 1.55 0.65 1.21
45.50 1.48 0.65 1.20
46.00 1.40 0.65 1.20
46.50 1.33 0.64 1.21
47.00 1.26 0.64 1.21
47.50 1.20 0.63 1.21
48.00 1.15 0.62 1.22
48.50 1.09 0.60 1.22
49.00 1.04 0.59 1.23
49.50 1.00 0.57 1.23
50.00 0.96 0.55 1.24
50.50 0.92 0.54 1.24
51.00 0.88 0.52 1.25
51.50 0.85 0.50 1.25
52.00 0.82 0.48 1.26
52.50 0.80 0.46 1.26
53.00 0.77 0.44 1.26
53.50 0.75 0.42 1.26
54.00 0.73 0.40 1.26
54.50 0.71 0.39 1.26
55.00 0.69 0.37 1.26
55.50 0.67 0.35 1.26
56.00 0.66 0.33 1.25
56.50 0.64 0.32 1.25
57.00 0.63 0.30 1.24
57.50 0.62 0.29 1.24
58.00 0.60 0.27 1.23
58.50 0.59 0.26 1.22
59.00 0.58 0.25 1.21
59.50 0.57 0.24 1.21
60.00 0.56 0.22 1.20
60.50 0.55 0.21 1.19
61.00 0.54 0.20 1.18
61.50 0.53 0.19 1.17
62.00 0.52 0.18 1.16
62.50 0.51 0.17 1.15
63.00 0.50 0.16 1.13
63.50 0.49 0.16 1.12
64.00 0.49 0.15 1.11
64.50 0.48 0.14 1.10
65.00 0.47 0.13 1.09
65.50 0.46 0.13 1.07
66.00 0.45 0.12 1.06
66.50 0.44 0.12 1.05
67.00 0.43 0.11 1.04
67.50 0.42 0.11 1.02
68.00 0.41 0.10 1.01
68.50 0.40 0.10 1.00
69.00 0.39 0.09 0.99
69.50 0.39 0.09 0.98
70.00 0.38 0.08 0.96
70.50 0.37 0.08 0.95
71.00 0.36 0.08 0.94
71.50 0.35 0.07 0.93
72.00 0.34 0.07 0.92
72.50 0.33 0.07 0.90
73.00 0.32 0.06 0.89
73.50 0.31 0.06 0.88
74.00 0.30 0.06 0.87
74.50 0.29 0.05 0.86
75.00 0.29 0.05 0.85
75.50 0.28 0.05 0.84
76.00 0.27 0.05 0.83
76.50 0.26 0.05 0.82
77.00 0.25 0.04 0.81
77.50 0.24 0.04 0.80
78.00 0.24 0.04 0.79
78.50 0.23 0.04 0.78
79.00 0.22 0.04 0.77
79.50 0.21 0.04 0.76
80.00 0.20 0.03 0.75
