Time X1 X2 X3
0.00 4.51 1.94 0.84
0.00 3.93 1.97 0.59
0.00 4.06 1.90 1.22
0.00 3.68 2.27 0.77
0.00 4.03 2.35 1.18
5.00 0.91 1.92 2.52
5.00 0.49 1.05 2.53
5.00 0.89 1.59 2.61
5.00 1.25 1.94 2.41
5.00 0.71 1.53 2.66
10.00 1.83 0.64 3.19
10.00 1.37 0.27 3.60
10.00 1.63 0.49 3.82
10.00 2.04 0.25 3.93
10.00 2.14 0.32 3.73
15.00 4.67 0.37 2.25
15.00 4.77 0.39 2.31
15.00 4.38 0.20 1.55
15.00 4.50 0.48 1.62
15.00 4.71 0.22 2.17
20.00 2.73 1.63 1.31
20.00 3.26 1.01 1.24
20.00 2.79 1.43 1.53
20.00 2.81 1.59 1.23
20.00 3.21 1.65 1.22
25.00 1.11 1.30 2.31
25.00 1.40 1.40 2.12
25.00 1.21 1.30 1.96
25.00 1.23 1.11 1.87
25.00 1.30 1.56 2.32
30.00 1.90 0.34 2.78
30.00 1.37 0.63 2.29
30.00 1.19 0.74 3.00
30.00 1.26 0.53 2.19
30.00 1.27 0.44 3.07
35.00 2.21 0.08 1.89
35.00 2.51 0.49 2.33
35.00 2.52 0.11 1.77
35.00 2.48 0.35 1.69
35.00 2.56 0.62 1.90
40.00 2.29 0.83 1.20
40.00 2.24 0.45 1.44
40.00 2.74 0.60 1.41
40.00 2.20 0.63 1.56
40.00 2.45 0.36 1.55
45.00 1.65 0.95 1.21
45.00 1.89 0.69 0.89
45.00 1.23 0.44 1.39
45.00 1.22 0.61 0.75
45.00 1.69 0.86 1.37
50.00 0.67 0.56 0.88
50.00 0.45 0.51 1.04
50.00 0.98 0.94 1.33
50.00 1.31 0.54 1.09
50.00 1.17 0.50 1.43
55.00 0.56 0.35 1.11
55.00 0.86 0.07 1.08
55.00 0.71 0.28 1.12
55.00 0.51 0.36 0.80
55.00 1.04 0.64 1.10
60.00 0.64 -0.23 1.23
60.00 0.84 0.28 1.35
60.00 0.56 -0.07 1.15
60.00 1.12 -0.25 1.05
60.00 0.33 0.05 1.32
65.00 0.70 -0.13 1.29
65.00 0.82 0.34 1.22
65.00 0.50 -0.06 1.38
65.00 0.50 0.12 1.12
65.00 1.02 -0.05 0.92
70.00 -0.12 0.08 1.08
70.00 0.39 0.13 0.97
70.00 0.35 0.27 0.79
70.00 0.13 0.12 1.00
70.00 0.03 0.17 0.85
75.00 0.13 -0.09 1.13
75.00 0.04 -0.00 0.90
75.00 0.19 -0.01 0.94
75.00 0.35 0.11 0.95
75.00 0.38 0.22 0.57
80.00 0.44 -0.32 0.69
80.00 -0.11 -0.25 0.62
80.00 0.17 0.18 0.77
80.00 0.20 -0.48 -0.04
80.00 -0.15 0.21 0.93
